10:07:53.451:  0, 0 ,0
| Ac= 380 | AcZ = 15492 
10:07:54.745:  0, 0 ,0
 -312 | AcY = 404 | AcZ = 15384 
AcX = -340 | AcY = 292 | AcZ = 15508 

10:07:54.845:  0, 0 ,0
AcX = -272 | AcY = 352 | AcZ = 15464 
AcX = -320 | AcY = 452 | AcZ = 15488 

10:07:54.946:  0, 0 ,0
AcX = -408 | AcY = 420 | AcZ = 15348 
AcX = -464 | AcY = 296 | AcZ = 15428 

10:07:55.046:  0, 0 ,0
AcX = -376 | AcY = 304 | AcZ = 15456 
AcX = -276 | AcY = 408 | AcZ = 15
10:07:55.146:  0, 0 ,0
544 
AcX = -412 | AcY = 344 | AcZ = 15516 
AcX = -352 | AcY = 340 | AcZ =
10:07:55.246:  0, 0 ,0
 15432 
AcX = -296 | AcY = 476 | AcZ = 15340 
AcX = -348 | AcY = 336 |
10:07:55.345:  0, 0 ,0
 AcZ = 15536 
AcX = -380 | AcY = 344 | AcZ = 15404 
AcX = -316 | AcY = 44
10:07:55.446:  0, 0 ,0
8 | AcZ = 15392 
AcX = -364 | AcY = 396 | AcZ = 15428 
AcX = -416 | A
10:07:55.544:  0, 0 ,0
cY = 292 | AcZ = 15540 
AcX = -300 | AcY = 388 | AcZ = 15420 
AcX = -3
10:07:55.642:  0, 0 ,0
36 | AcY = 400 | AcZ = 15452 
AcX = -344 | AcY = 480 | AcZ = 15476 
A
10:07:55.744:  0, 0 ,0
cX = -368 | AcY = 448 | AcZ = 15408 
AcX = -364 | AcY = 324 | AcZ = 15680 

10:07:55.846:  0, 0 ,0
AcX = -384 | AcY = 352 | AcZ = 15556 
AcX = -384 | AcY = 452 | AcZ = 15520 

10:07:55.945:  0, 0 ,0
AcX = -300 | AcY = 356 | AcZ = 15536 
AcX = -312 | AcY = 420 | AcZ = 15540 

10:07:56.047:  0, 0 ,0
AcX = -332 | AcY = 300 | AcZ = 15380 
AcX = -384 | AcY = 432 | AcZ = 15408 
10:07:56.147:  0, 0 ,0

AcX = -452 | AcY = 512 | AcZ = 15548 
AcX = -268 | AcY = 380 | AcZ =
10:07:56.246:  0, 0 ,0
 15420 
AcX = -376 | AcY = 444 | AcZ = 15472 
AcX = -324 | AcY = 340 |
10:07:56.346:  0, 0 ,0
 AcZ = 15536 
AcX = -292 | AcY = 416 | AcZ = 15504 
AcX = -308 | AcY = 43
10:07:56.446:  0, 0 ,0
2 | AcZ = 15440 
AcX = -364 | AcY = 364 | AcZ = 15480 
AcX = -296 | A
10:07:56.547:  0, 0 ,0
cY = 380 | AcZ = 15644 
AcX = -216 | AcY = 456 | AcZ = 15520 
AcX = -376 |
10:07:56.647:  0, 0 ,0
 AcY = 404 | AcZ = 15456 
AcX = -344 | AcY = 396 | AcZ = 15432 
AcX =
10:07:56.746:  0, 0 ,0
 -400 | AcY = 376 | AcZ = 15352 
AcX = -376 | AcY = 444 | AcZ = 15604 
Ac
10:07:56.843:  0, 0 ,0
X = -232 | AcY = 424 | AcZ = 15444 
AcX = -400 | AcY = 360 | AcZ = 15480 

10:07:56.941:  0, 0 ,0
AcX = -320 | AcY = 468 | AcZ = 15432 
AcX = -368 | AcY = 364 | AcZ = 15548
10:07:57.041:  0, 0 ,0
 
AcX = -396 | AcY = 428 | AcZ = 15564 
AcX = -328 | AcY = 412 | AcZ 
10:07:57.141:  0, 0 ,0
= 15436 
AcX = -224 | AcY = 396 | AcZ = 15364 
AcX = -432 | AcY = 428 | A
10:07:57.244:  0, 0 ,0
cZ = 15348 
AcX = -364 | AcY = 404 | AcZ = 15576 
AcX = -284 | AcY = 380 |
10:07:57.346:  0, 0 ,0
 AcZ = 15508 
AcX = -320 | AcY = 508 | AcZ = 15532 
AcX = -360 | AcY = 48
10:07:57.445:  0, 0 ,0
8 | AcZ = 15560 
AcX = -356 | AcY = 400 | AcZ = 15564 
AcX = -388 | A
10:07:57.546:  0, 0 ,0
cY = 328 | AcZ = 15388 
AcX = -344 | AcY = 408 | AcZ = 15496 
AcX = -324 |
10:07:57.646:  0, 0 ,0
 AcY = 312 | AcZ = 15524 
AcX = -340 | AcY = 468 | AcZ = 15420 
AcX =
10:07:57.745:  0, 0 ,0
 -288 | AcY = 448 | AcZ = 15536 
AcX = -292 | AcY = 392 | AcZ = 15476 
AcX
10:07:57.845:  0, 0 ,0
 = -412 | AcY = 360 | AcZ = 15508 
AcX = -348 | AcY = 452 | AcZ = 15472 

10:07:57.946:  0, 0 ,0
AcX = -280 | AcY = 380 | AcZ = 15364 
AcX = -316 | AcY = 312 | AcZ = 15520 

10:07:58.046:  0, 0 ,0
AcX = -324 | AcY = 360 | AcZ = 15496 
AcX = -256 | AcY = 408 | AcZ = 15348 
10:07:58.146:  0, 0 ,0

AcX = -296 | AcY = 400 | AcZ = 15524 
AcX = -380 | AcY = 448 | AcZ =
10:07:58.246:  0, 0 ,0
 15396 
AcX = -388 | AcY = 360 | AcZ = 15404 
AcX = -432 | AcY = 460 | AcZ
10:07:58.345:  0, 0 ,0
 = 15508 
AcX = -388 | AcY = 348 | AcZ = 15472 
AcX = -316 | AcY = 36
10:07:58.446:  0, 0 ,0
8 | AcZ = 15456 
AcX = -252 | AcY = 360 | AcZ = 15504 
AcX = -440 | AcY = 
10:07:58.544:  0, 0 ,0
408 | AcZ = 15432 
AcX = -236 | AcY = 432 | AcZ = 15520 
AcX = -3
10:07:58.643:  0, 0 ,0
40 | AcY = 396 | AcZ = 15564 
AcX = -452 | AcY = 432 | AcZ = 15448 
AcX =
10:07:58.742:  0, 0 ,0
 -252 | AcY = 304 | AcZ = 15372 
AcX = -332 | AcY = 356 | AcZ = 15532 

10:07:58.845:  0, 0 ,0
AcX = -300 | AcY = 368 | AcZ = 15600 
AcX = -380 | AcY = 532 | AcZ = 15464 

10:07:58.943:  0, 0 ,0
AcX = -252 | AcY = 296 | AcZ = 15412 
AcX = -300 | AcY = 376 | AcZ = 15448 

10:07:59.045:  0, 0 ,0
AcX = -320 | AcY = 368 | AcZ = 15372 
AcX = -412 | AcY = 356 | AcZ = 15468 
10:07:59.145:  0, 0 ,0

AcX = -284 | AcY = 344 | AcZ = 15396 
AcX = -376 | AcY = 492 | AcZ = 
10:07:59.245:  0, 0 ,0
15476 
AcX = -420 | AcY = 380 | AcZ = 15504 
AcX = -272 | AcY = 472 | AcZ
10:07:59.345:  0, 0 ,0
 = 15504 
AcX = -296 | AcY = 496 | AcZ = 15408 
AcX = -344 | AcY = 40
10:07:59.445:  0, 0 ,0
0 | AcZ = 15496 
AcX = -236 | AcY = 336 | AcZ = 15584 
AcX = -292 | Ac
10:07:59.546:  0, 0 ,0
Y = 420 | AcZ = 15488 
AcX = -292 | AcY = 464 | AcZ = 15488 
AcX = -352 |
10:07:59.646:  0, 0 ,0
 AcY = 460 | AcZ = 15464 
AcX = -380 | AcY = 380 | AcZ = 15468 
AcX = -45
10:07:59.744:  0, 0 ,0
6 | AcY = 392 | AcZ = 15488 
AcX = -392 | AcY = 380 | AcZ = 15464 
AcX
10:07:59.842:  0, 0 ,0
 = -372 | AcY = 368 | AcZ = 15500 
AcX = -368 | AcY = 300 | AcZ = 15524 

10:07:59.940:  0, 0 ,0
AcX = -268 | AcY = 464 | AcZ = 15524 
AcX = -272 | AcY = 412 | AcZ = 15444
10:08:00.040:  0, 0 ,0
 
AcX = -420 | AcY = 384 | AcZ = 15564 
AcX = -360 | AcY = 416 | AcZ = 15
10:08:00.145:  0, 0 ,0
516 
AcX = -356 | AcY = 400 | AcZ = 15440 
AcX = -244 | AcY = 416 | AcZ = 
10:08:00.246:  0, 0 ,0
15536 
AcX = -396 | AcY = 384 | AcZ = 15552 
AcX = -404 | AcY = 360 | AcZ
10:08:00.347:  0, 0 ,0
 = 15476 
AcX = -356 | AcY = 428 | AcZ = 15488 
AcX = -300 | AcY = 396 | 
10:08:00.446:  0, 0 ,0
AcZ = 15444 
AcX = -440 | AcY = 348 | AcZ = 15508 
AcX = -276 | AcY = 
10:08:00.545:  0, 0 ,0
472 | AcZ = 15312 
AcX = -256 | AcY = 360 | AcZ = 15472 
AcX = -300 |
10:08:00.645:  0, 0 ,0
 AcY = 376 | AcZ = 15356 
AcX = -252 | AcY = 400 | AcZ = 15528 
AcX = -40
10:08:00.745:  0, 0 ,0
4 | AcY = 372 | AcZ = 15456 
AcX = -348 | AcY = 456 | AcZ = 15392 
AcX
10:08:00.845:  0, 0 ,0
 = -324 | AcY = 404 | AcZ = 15492 
AcX = -320 | AcY = 320 | AcZ = 15392 

10:08:00.946:  0, 0 ,0
AcX = -312 | AcY = 384 | AcZ = 15500 
AcX = -448 | AcY = 440 | AcZ = 15460 

10:08:01.046:  0, 0 ,0
AcX = -460 | AcY = 360 | AcZ = 15424 
AcX = -336 | AcY = 324 | AcZ = 15460 
10:08:01.145:  0, 0 ,0

AcX = -436 | AcY = 440 | AcZ = 15432 
AcX = -288 | AcY = 436 | AcZ = 1540
10:08:01.245:  0, 0 ,0
4 
AcX = -224 | AcY = 364 | AcZ = 15420 
AcX = -424 | AcY = 344 | AcZ
10:08:01.345:  0, 0 ,0
 = 15552 
AcX = -372 | AcY = 484 | AcZ = 15544 
AcX = -320 | AcY = 372
10:08:01.445:  0, 0 ,0
 | AcZ = 15432 
AcX = -268 | AcY = 364 | AcZ = 15432 
AcX = -348 | AcY = 
10:08:01.542:  0, 0 ,0
368 | AcZ = 15544 
AcX = -376 | AcY = 376 | AcZ = 15436 
AcX = -3
10:08:01.642:  0, 0 ,0
96 | AcY = 456 | AcZ = 15280 
AcX = -364 | AcY = 368 | AcZ = 15372 
AcX = 
10:08:01.745:  0, 0 ,0
-400 | AcY = 364 | AcZ = 15512 
AcX = -388 | AcY = 444 | AcZ = 15512 
AcX
10:08:01.846:  0, 0 ,0
 = -280 | AcY = 364 | AcZ = 15476 
AcX = -352 | AcY = 472 | AcZ = 15460 

10:08:01.945:  0, 0 ,0
AcX = -360 | AcY = 384 | AcZ = 15512 
AcX = -364 | AcY = 404 | AcZ = 15420 

10:08:02.046:  0, 0 ,0
AcX = -344 | AcY = 448 | AcZ = 15572 
AcX = -316 | AcY = 452 | AcZ = 15556 

10:08:02.145:  0, 0 ,0
AcX = -352 | AcY = 384 | AcZ = 15516 
AcX = -320 | AcY = 380 | AcZ = 1550
10:08:02.244:  0, 0 ,0
8 
AcX = -372 | AcY = 524 | AcZ = 15256 
AcX = -320 | AcY = 404 | AcZ
10:08:02.344:  0, 0 ,0
 = 15400 
AcX = -368 | AcY = 440 | AcZ = 15408 
AcX = -280 | AcY = 440
10:08:02.445:  0, 0 ,0
 | AcZ = 15264 
AcX = -416 | AcY = 328 | AcZ = 15388 
AcX = -352 | AcY = 
10:08:02.543:  0, 0 ,0
360 | AcZ = 15480 
AcX = -280 | AcY = 436 | AcZ = 15524 
AcX = -340 |
10:08:02.645:  0, 0 ,0
 AcY = 480 | AcZ = 15536 
AcX = -336 | AcY = 312 | AcZ = 15496 
AcX = -216
10:08:02.745:  0, 0 ,0
 | AcY = 484 | AcZ = 15400 
AcX = -408 | AcY = 348 | AcZ = 15536 
AcX
10:08:02.841:  0, 0 ,0
 = -308 | AcY = 400 | AcZ = 15416 
AcX = -300 | AcY = 444 | AcZ = 15432 

10:08:02.940:  0, 0 ,0
AcX = -336 | AcY = 400 | AcZ = 15404 
AcX = -408 | AcY = 464 | AcZ = 15368 

10:08:03.040:  0, 0 ,0
AcX = -384 | AcY = 312 | AcZ = 15536 
AcX = -368 | AcY = 336 | AcZ = 154
10:08:03.144:  0, 0 ,0
80 
AcX = -376 | AcY = 396 | AcZ = 15424 
AcX = -420 | AcY = 420 | AcZ = 1541
10:08:03.245:  0, 0 ,0
2 
AcX = -304 | AcY = 400 | AcZ = 15420 
AcX = -420 | AcY = 380 | AcZ
10:08:03.345:  0, 0 ,0
 = 15492 
AcX = -324 | AcY = 400 | AcZ = 15580 
AcX = -348 | AcY = 392 | A
10:08:03.445:  0, 0 ,0
cZ = 15328 
